id	speed	direction	ramp	freeway	datetime
70	57.339237	North	I-5 south (Santa Ana Freeway) Santa Ana	101	2014-04-25 16:42:32.0
71	75.0	North	SR 118 (Ronald Reagan Freeway)   Simi Valley	405	2014-04-25 16:42:32.0
72	36.33079	South	Barham Boulevard Burbank	101	2014-04-25 16:42:32.0
73	62.994934	East	I-405 (San Diego Freeway) Santa Monica, Long Beach	105	2014-04-25 16:42:32.0
74	53.948006	East	Fairfax Avenue, Washington Boulevard	10	2014-04-25 16:42:32.0
75	73.88638	South	Vermont Avenue	101	2014-04-25 16:42:32.0
76	35.35415	North	SR 27 (Topanga Canyon Boulevard) / Ventura Boulevard	101	2014-04-25 16:42:32.0
77	20.0	South	Sherman Way	405	2014-04-25 16:42:32.0
78	52.176544	South	Cesar Chavez Avenue	101	2014-04-25 16:42:32.0
79	46.591236	North	Cahuenga Boulevard Hollywood Bowl	101	2014-04-25 16:42:32.0
80	65.68623	North	I-5 south (Santa Ana Freeway) Santa Ana	101	2014-04-25 16:42:32.0
81	66.00085	East	SR 1 north (Pacific Coast Highway) Oxnard	10	2014-04-25 16:42:32.0
82	61.15256	North	Sunset Boulevard	405	2014-04-25 16:42:32.0
83	54.983067	North	Cahuenga Boulevard Hollywood Bowl	101	2014-04-25 16:42:32.0
84	24.328928	North	Reseda Boulevard	101	2014-04-25 16:42:32.0
85	33.7503	West	State Street	10	2014-04-25 16:42:32.0
86	43.96768	South	Highland Avenue (SR 170 south) Hollywood Bowl	101	2014-04-25 16:42:32.0
87	51.460712	North	Burbank Boulevard	405	2014-04-25 16:42:32.0
88	25.189974	West	State Street	10	2014-04-25 16:42:32.0
89	74.938805	South	Shoup Avenue	101	2014-04-25 16:42:32.0
90	67.97452	West	Cesar Chavez Avenue	10	2014-04-25 16:42:32.0
91	20.0	South	Lankershim Boulevard Universal City	101	2014-04-25 16:42:32.0
92	73.849915	East	Los Angeles Street Convention Center	10	2014-04-25 16:42:32.0
93	73.39243	West	Alameda Street	10	2014-04-25 16:42:32.0
94	24.711203	North	Roscoe Boulevard   Panorama City	405	2014-04-25 16:42:32.0
95	49.40707	South	Gower Street	101	2014-04-25 16:42:32.0
96	57.00823	West	SR 19 (Lakewood Boulevard)	105	2014-04-25 16:42:32.0
97	75.0	North	Devonshire Street   Granada Hills	405	2014-04-25 16:42:32.0
98	66.02899	North	SR 118 (Ronald Reagan Freeway)   Simi Valley	405	2014-04-25 16:42:32.0
99	28.57192	North	Barham Boulevard Burbank	101	2014-04-25 16:42:32.0
100	68.723495	South	SR 90 west (Marina Freeway)   Marina del Rey	405	2014-04-25 16:42:32.0
101	72.47267	South	Van Nuys Boulevard	101	2014-04-25 16:42:32.0
102	41.38282	North	Burbank Boulevard	405	2014-04-25 16:42:32.0
103	74.8796	West	I-710 (Long Beach Freeway) Pasadena, Long Beach	105	2014-04-25 16:42:32.0
104	52.221043	South	Venice Boulevard (SR 187), Washington Boulevard	405	2014-04-25 16:42:32.0
105	30.06852	North	Sherman Way	405	2014-04-25 16:42:32.0
106	30.029238	South	Barham Boulevard Burbank	101	2014-04-25 16:42:32.0
107	29.989992	East	State Street	10	2014-04-25 16:42:32.0
108	69.22778	West	Vermont Avenue	105	2014-04-25 16:42:32.0
109	75.0	West	Vermont Avenue	105	2014-04-25 16:42:32.0
110	55.636345	South	Fourth Street	101	2014-04-25 16:42:33.0
111	54.73854	North	Alameda Street Union Station	101	2014-04-25 16:42:33.0
112	56.200626	West	La Cienega Boulevard, Venice Boulevard (SR 187 west)	10	2014-04-25 16:42:33.0
113	42.692677	East	Long Beach Boulevard	105	2014-04-25 16:42:33.0
114	75.0	North	SR 60 east (Pomona Freeway) / Soto Street Pomona	101	2014-04-25 16:42:33.0
115	39.64513	South	Venice Boulevard (SR 187), Washington Boulevard	405	2014-04-25 16:42:33.0
116	28.810167	North	Manchester Boulevard, La Cienega Boulevard, Florence Avenue	405	2014-04-25 16:42:33.0
117	54.788467	South	Culver Boulevard, Washington Boulevard   Culver City	405	2014-04-25 16:42:33.0
118	49.26056	West	Studebaker Road	105	2014-04-25 16:42:33.0
119	31.275648	South	Moraga Drive	405	2014-04-25 16:42:33.0
120	20.0	North	Mission Road	101	2014-04-25 16:42:33.0
121	52.945793	East	Hawthorne Boulevard	105	2014-04-25 16:42:33.0
122	74.6465	North	Coldwater Canyon Avenue	101	2014-04-25 16:42:33.0
123	21.709503	South	Rampart Boulevard, Benton Way	101	2014-04-25 16:42:33.0
124	73.53878	West	Prairie Avenue	105	2014-04-25 16:42:33.0
125	75.0	South	Mulholland Drive, Valley Circle Boulevard	101	2014-04-25 16:42:33.0
126	46.279915	South	Burbank Boulevard	405	2014-04-25 16:42:33.0
127	47.77782	North	Fourth Street	101	2014-04-25 16:42:33.0
128	38.402176	South	De Soto Avenue, Serrania Avenue	101	2014-04-25 16:42:33.0
129	62.136826	North	Sepulveda Boulevard	101	2014-04-25 16:42:33.0
130	35.58909	West	State Street	10	2014-04-25 16:42:33.0
131	65.31456	North	Hayvenhurst Avenue	101	2014-04-25 16:42:33.0
132	75.0	East	I-710 (Long Beach Freeway) Pasadena, Long Beach	105	2014-04-25 16:42:33.0
133	75.0	West	Hoover Street	10	2014-04-25 16:42:33.0
134	40.992756	West	Hoxie Avenue Norwalk Metro Station	105	2014-04-25 16:42:33.0
135	60.781452	North	Haskell Avenue	101	2014-04-25 16:42:33.0
136	70.34155	South	Nordhoff Street	405	2014-04-25 16:42:33.0
137	21.669062	North	Rinaldi Street   Mission Hills	405	2014-04-25 16:42:33.0
138	40.450726	North	SR 27 (Topanga Canyon Boulevard) / Ventura Boulevard	101	2014-04-25 16:42:33.0
139	20.0	North	Manchester Boulevard, La Cienega Boulevard, Florence Avenue	405	2014-04-25 16:42:33.0
140	34.26689	West	State Street	10	2014-04-25 16:42:33.0
141	23.332954	East	State Street	10	2014-04-25 16:42:33.0
142	49.970367	North	Jefferson Boulevard	405	2014-04-25 16:42:33.0
143	52.64849	North	Hayvenhurst Avenue	101	2014-04-25 16:42:33.0
144	75.0	North	Ventura Boulevard, Sepulveda Boulevard, Valley Vista Boulevard	405	2014-04-25 16:42:33.0
145	75.0	East	20th Street	10	2014-04-25 16:42:33.0
146	67.25836	West	National Boulevard	10	2014-04-25 16:42:33.0
147	75.0	East	Alameda Street	10	2014-04-25 16:42:33.0
148	75.0	West	Mateo Street, Santa Fe Avenue	10	2014-04-25 16:42:33.0
149	75.0	North	Nordhoff Street	405	2014-04-25 16:42:33.0
150	37.35935	South	Hollywood Boulevard	101	2014-04-25 16:42:33.0
151	32.017372	West	State Street	10	2014-04-25 16:42:33.0
152	38.626404	West	Fourth Street	10	2014-04-25 16:42:33.0
153	43.758625	North	Balboa Boulevard Encino	101	2014-04-25 16:42:33.0
154	75.0	North	Van Nuys Boulevard	101	2014-04-25 16:42:33.0
155	75.0	North	Grand Avenue, Temple Street	101	2014-04-25 16:42:33.0
156	68.519875	West	20th Street	10	2014-04-25 16:42:33.0
157	60.703953	South	Spring Street	101	2014-04-25 16:42:33.0
158	68.618965	East	National Boulevard	10	2014-04-25 16:42:33.0
159	75.0	South	Vineland Avenue	101	2014-04-25 16:42:33.0
160	73.77418	West	Alameda Street	10	2014-04-25 16:42:33.0
161	20.0	North	Lankershim Boulevard Universal City	101	2014-04-25 16:42:33.0
162	20.0	West	San Pedro Street	10	2014-04-25 16:42:33.0
163	23.99991	South	SR 2 west (Santa Monica Boulevard) / Western Avenue	101	2014-04-25 16:42:33.0
164	40.071625	South	De Soto Avenue, Serrania Avenue	101	2014-04-25 16:42:33.0
165	37.82838	South	Vine Street	101	2014-04-25 16:42:33.0
166	68.433815	West	Los Angeles Street Convention Center	10	2014-04-25 16:42:33.0
167	68.82438	North	Nordhoff Street	405	2014-04-25 16:42:33.0
168	44.899857	South	Cesar Chavez Avenue	101	2014-04-25 16:42:33.0
169	74.675514	South	Nordhoff Street	405	2014-04-25 16:42:33.0
170	63.3594	East	SR 1 (Sepulveda Boulevard) / Imperial Highway east LAX Airport	105	2014-04-25 16:42:33.0
171	75.0	West	Arlington Avenue	10	2014-04-25 16:42:33.0
172	66.57215	North	Laurel Canyon Boulevard Studio City	101	2014-04-25 16:42:33.0
173	66.15705	South	Devonshire Street   Granada Hills	405	2014-04-25 16:42:33.0
174	75.0	South	Van Nuys Boulevard	101	2014-04-25 16:42:33.0
175	62.052746	East	National Boulevard, Overland Avenue	10	2014-04-25 16:42:33.0
176	75.0	North	Woodlake Avenue	101	2014-04-25 16:42:33.0
177	63.44845	West	Western Avenue, Normandie Avenue	10	2014-04-25 16:42:33.0
178	20.0	South	First Street	101	2014-04-25 16:42:33.0
179	39.052925	South	SR 27 (Topanga Canyon Boulevard) / Ventura Boulevard	101	2014-04-25 16:42:33.0
180	75.0	West	Western Avenue, Normandie Avenue	10	2014-04-25 16:42:33.0
181	72.61272	North	Sepulveda Boulevard, Slauson Avenue (SR 90 east)	405	2014-04-25 16:42:33.0
182	69.59674	East	I-405 (San Diego Freeway) Santa Monica, Long Beach	105	2014-04-25 16:42:33.0
183	20.0	South	Tampa Avenue	101	2014-04-25 16:42:33.0
184	25.69212	East	San Pedro Street	10	2014-04-25 16:42:33.0
185	56.13554	East	I-405 (San Diego Freeway) Sacramento, LAX Airport, Long Beach	10	2014-04-25 16:42:33.0
186	37.91351	North	Moraga Drive	405	2014-04-25 16:42:33.0
187	36.354946	East	SR 1 south (Lincoln Boulevard) to SR 2 east	10	2014-04-25 16:42:33.0
188	64.67587	East	Studebaker Road	105	2014-04-25 16:42:33.0
189	50.449104	South	Cesar Chavez Avenue	101	2014-04-25 16:42:33.0
190	75.0	West	National Boulevard	10	2014-04-25 16:42:33.0
191	46.37522	West	Hoxie Avenue Norwalk Metro Station	105	2014-04-25 16:42:33.0
192	75.0	East	SR 1 (Sepulveda Boulevard) / Imperial Highway east LAX Airport	105	2014-04-25 16:42:33.0
193	52.688576	East	Hawthorne Boulevard	105	2014-04-25 16:42:33.0
194	72.91649	North	Sepulveda Boulevard, Slauson Avenue (SR 90 east)	405	2014-04-25 16:42:33.0
195	69.36191	South	SR 60 east (Pomona Freeway) / Soto Street Pomona	101	2014-04-25 16:42:33.0
196	42.25366	South	SR 110 north (Pasadena Freeway) / I-110 south (Harbor Freeway) Pasadena, San Pedro	101	2014-04-25 16:42:33.0
197	67.57056	North	I-5 south (Santa Ana Freeway) Santa Ana	101	2014-04-25 16:42:33.0
198	20.0	North	Barham Boulevard Burbank	101	2014-04-25 16:42:33.0
199	75.0	West	Alameda Street	10	2014-04-25 16:42:33.0
200	32.863457	North	Burbank Boulevard	405	2014-04-25 16:42:33.0
201	75.0	South	Mulholland Drive, Skirball Center Drive	405	2014-04-25 16:42:33.0
202	34.79947	North	Barham Boulevard Burbank	101	2014-04-25 16:42:33.0
203	24.283766	South	Lankershim Boulevard Universal City	101	2014-04-25 16:42:33.0
204	63.01304	North	Glendale Boulevard, Echo Park Avenue, Union Avenue, Belmont Avenue	101	2014-04-25 16:42:33.0
205	71.52821	East	Vermont Avenue	105	2014-04-25 16:42:33.0
206	58.72967	South	Jefferson Boulevard	405	2014-04-25 16:42:33.0
207	51.542793	North	Fourth Street	101	2014-04-25 16:42:33.0
208	67.67955	South	Ventura Boulevard, Sepulveda Boulevard, Valley Vista Boulevard	405	2014-04-25 16:42:33.0
209	73.18873	West	Arlington Avenue	10	2014-04-25 16:42:33.0
210	28.42142	North	Barham Boulevard Burbank	101	2014-04-25 16:42:33.0
211	75.0	East	20th Street	10	2014-04-25 16:42:33.0
212	52.783916	South	Glendale Boulevard, Echo Park Avenue, Union Avenue, Belmont Avenue	101	2014-04-25 16:42:33.0
213	49.67824	North	Cesar Chavez Avenue	101	2014-04-25 16:42:33.0
214	72.338936	West	I-710 (Long Beach Freeway) Pasadena, Long Beach	105	2014-04-25 16:42:33.0
215	60.737076	North	Culver Boulevard, Washington Boulevard   Culver City	405	2014-04-25 16:42:33.0
216	26.007574	South	SR 170 north (Hollywood Freeway) Sacramento	101	2014-04-25 16:42:33.0
217	65.796036	North	Sepulveda Boulevard	101	2014-04-25 16:42:33.0
218	20.0	West	San Pedro Street	10	2014-04-25 16:42:33.0
219	67.64857	North	San Fernando Mission Boulevard   San Fernando	405	2014-04-25 16:42:33.0
220	75.0	South	Sepulveda Boulevard, Slauson Avenue (SR 90 east)	405	2014-04-25 16:42:33.0
221	70.60175	East	City Terrace Drive	10	2014-04-25 16:42:33.0
222	63.367905	East	Los Angeles Street Convention Center	10	2014-04-25 16:42:33.0
223	22.828478	East	4th Street, 5th Street	10	2014-04-25 16:42:33.0
224	33.823215	North	First Street	101	2014-04-25 16:42:33.0
225	43.711918	East	Paramount Boulevard	105	2014-04-25 16:42:33.0
226	75.0	South	Mulholland Drive, Valley Circle Boulevard	101	2014-04-25 16:42:33.0
227	57.081776	West	SR 19 (Lakewood Boulevard)	105	2014-04-25 16:42:33.0
228	23.61654	East	4th Street, 5th Street	10	2014-04-25 16:42:33.0
229	62.930866	North	SR 2 east (Alvarado Street)	101	2014-04-25 16:42:33.0
230	75.0	West	Alameda Street	10	2014-04-25 16:42:33.0
231	20.0	South	Lankershim Boulevard Universal City	101	2014-04-25 16:42:33.0
232	75.0	North	SR 2 east (Alvarado Street)	101	2014-04-25 16:42:33.0
233	20.0	South	Universal Studios Boulevard	101	2014-04-25 16:42:33.0
234	20.0	South	Lankershim Boulevard Universal City	101	2014-04-25 16:42:33.0
235	72.754135	South	SR 118 (Ronald Reagan Freeway)   Simi Valley	405	2014-04-25 16:42:33.0
236	43.4864	South	SR 27 (Topanga Canyon Boulevard) / Ventura Boulevard	101	2014-04-25 16:42:33.0
237	52.182434	North	Cahuenga Boulevard Hollywood Bowl	101	2014-04-25 16:42:33.0
238	38.450977	South	Sunset Boulevard	405	2014-04-25 16:42:33.0
239	31.284094	South	First Street	101	2014-04-25 16:42:33.0
240	75.0	South	SR 2 east (Alvarado Street)	101	2014-04-25 16:42:33.0
241	70.12446	North	Mulholland Drive, Valley Circle Boulevard	101	2014-04-25 16:42:33.0
242	74.43211	East	Central Avenue	105	2014-04-25 16:42:33.0
243	60.487095	West	Los Angeles Street Convention Center	10	2014-04-25 16:42:33.0
244	71.408714	West	Central Avenue	105	2014-04-25 16:42:33.0
245	75.0	East	Hoover Street	10	2014-04-25 16:42:33.0
246	20.859673	South	Los Angeles Street	101	2014-04-25 16:42:33.0
247	55.1038	South	Laurel Canyon Boulevard Studio City	101	2014-04-25 16:42:33.0
248	51.448174	West	I-110 south (Harbor Freeway) / SR 110 north (Harbor Freeway) / Pico Boulevard San Pedro, Pasadena, Downtown Los Angeles	10	2014-04-25 16:42:33.0
249	72.78978	East	Mateo Street, Santa Fe Avenue	10	2014-04-25 16:42:33.0
250	46.838894	South	Jefferson Boulevard	405	2014-04-25 16:42:33.0
251	68.93345	East	Prairie Avenue	105	2014-04-25 16:42:33.0
252	59.20793	North	Jefferson Boulevard	405	2014-04-25 16:42:33.0
253	67.78392	North	Sepulveda Boulevard, Slauson Avenue (SR 90 east)	405	2014-04-25 16:42:33.0
254	26.604397	North	Melrose Avenue, Normandie Avenue	101	2014-04-25 16:42:33.0
255	41.299377	East	Paramount Boulevard	105	2014-04-25 16:42:33.0
256	72.83146	West	Western Avenue, Normandie Avenue	10	2014-04-25 16:42:33.0
257	61.6725	South	Broadway	101	2014-04-25 16:42:33.0
258	20.0	North	Los Angeles Street	101	2014-04-25 16:42:33.0
259	59.22199	East	La Cienega Boulevard, Aviation Boulevard	105	2014-04-25 16:42:33.0
260	36.987362	South	Fallbrook Avenue	101	2014-04-25 16:42:33.0
261	75.0	West	Vermont Avenue	105	2014-04-25 16:42:33.0
262	49.28831	North	Cahuenga Boulevard Hollywood Bowl	101	2014-04-25 16:42:33.0
263	40.111206	West	Fourth Street	10	2014-04-25 16:42:33.0
264	35.268353	North	SR 110 north (Pasadena Freeway) / I-110 south (Harbor Freeway) Pasadena, San Pedro	101	2014-04-25 16:42:33.0
265	65.49362	West	Crenshaw Boulevard	10	2014-04-25 16:42:33.0
266	51.5132	East	Wilmington Avenue	105	2014-04-25 16:42:33.0
267	75.0	East	Cloverfield Boulevard	10	2014-04-25 16:42:33.0
268	33.09463	North	La Tijera Boulevard	405	2014-04-25 16:42:33.0
269	32.34269	East	SR 1 south (Lincoln Boulevard) to SR 2 east	10	2014-04-25 16:42:33.0
270	74.82697	East	Prairie Avenue	105	2014-04-25 16:42:33.0
271	72.42509	South	Coldwater Canyon Avenue	101	2014-04-25 16:42:33.0
272	75.0	West	Central Avenue	105	2014-04-25 16:42:33.0
273	28.985603	North	SR 170 north (Hollywood Freeway) Sacramento	101	2014-04-25 16:42:33.0
274	57.571453	West	Los Angeles Street Convention Center	10	2014-04-25 16:42:33.0
275	39.254818	North	Gower Street	101	2014-04-25 16:42:33.0
276	75.0	North	Mulholland Drive, Skirball Center Drive	405	2014-04-25 16:42:33.0
277	63.811096	North	Hayvenhurst Avenue	101	2014-04-25 16:42:33.0
278	34.195187	North	La Tijera Boulevard	405	2014-04-25 16:42:33.0
279	40.475365	South	Moraga Drive	405	2014-04-25 16:42:33.0
280	40.2087	East	Fourth Street	10	2014-04-25 16:42:33.0
281	50.236317	East	Garfield Avenue	105	2014-04-25 16:42:33.0
282	20.0	North	Lankershim Boulevard Universal City	101	2014-04-25 16:42:33.0
283	71.921906	South	San Fernando Mission Boulevard   San Fernando	405	2014-04-25 16:42:33.0
284	75.0	North	Vermont Avenue	101	2014-04-25 16:42:33.0
285	33.238155	East	Grand Avenue	10	2014-04-25 16:42:33.0
286	51.373684	West	I-405 (San Diego Freeway) Sacramento, LAX Airport, Long Beach	10	2014-04-25 16:42:33.0
287	37.353413	North	Ventura Boulevard	101	2014-04-25 16:42:33.0
288	63.15525	South	Hayvenhurst Avenue	101	2014-04-25 16:42:33.0
289	27.943304	East	Bundy Drive	10	2014-04-25 16:42:33.0
290	55.8056	North	Tujunga Avenue	101	2014-04-25 16:42:33.0
291	73.021645	North	Van Nuys Boulevard	101	2014-04-25 16:42:33.0
292	44.177963	North	Cahuenga Boulevard Hollywood Bowl	101	2014-04-25 16:42:33.0
293	27.491772	North	Hollywood Boulevard	101	2014-04-25 16:42:33.0
294	25.402987	South	Melrose Avenue, Normandie Avenue	101	2014-04-25 16:42:33.0
295	37.182426	North	Fallbrook Avenue	101	2014-04-25 16:42:33.0
296	68.431465	South	Vignes Street	101	2014-04-25 16:42:33.0
297	20.0	West	I-5 north (Golden State Freeway) Sacramento	10	2014-04-25 16:42:33.0
298	75.0	East	Soto Street	10	2014-04-25 16:42:33.0
299	21.355656	South	Mission Road	101	2014-04-25 16:42:33.0
300	52.556023	West	SR 19 (Lakewood Boulevard)	105	2014-04-25 16:42:33.0
301	47.16303	East	Grand Avenue	10	2014-04-25 16:42:33.0
302	20.58541	South	Winnetka Avenue Woodland Hills	101	2014-04-25 16:42:33.0
303	25.568	East	Eastern Avenue	10	2014-04-25 16:42:33.0
304	20.485538	West	I-605 (San Gabriel River Freeway)	105	2014-04-25 16:42:33.0
305	20.0	North	Manchester Boulevard, La Cienega Boulevard, Florence Avenue	405	2014-04-25 16:42:33.0
306	72.62966	North	Sepulveda Boulevard	101	2014-04-25 16:42:33.0
307	68.90059	East	Nash Street LAX Airport	105	2014-04-25 16:42:33.0
308	20.0	East	San Pedro Street	10	2014-04-25 16:42:33.0
309	27.73368	East	SR 1 south (Lincoln Boulevard) to SR 2 east	10	2014-04-25 16:42:33.0
310	75.0	North	I-5 south (Santa Ana Freeway) Santa Ana	101	2014-04-25 16:42:33.0
311	20.0	North	Winnetka Avenue Woodland Hills	101	2014-04-25 16:42:33.0
312	74.7079	South	Mulholland Drive, Skirball Center Drive	405	2014-04-25 16:42:33.0
313	20.0	North	SR 134 east (Ventura Freeway) Pasadena	101	2014-04-25 16:42:33.0
314	72.01906	South	Van Nuys Boulevard	101	2014-04-25 16:42:33.0
315	75.0	East	Vermont Avenue	105	2014-04-25 16:42:33.0
316	69.77829	South	Sepulveda Boulevard	101	2014-04-25 16:42:33.0
317	34.806446	West	I-5 south (Santa Ana Freeway) / SR 60 east (Pomona Freeway) Santa Ana, Pomona	10	2014-04-25 16:42:33.0
318	54.972748	West	SR 1 north (Pacific Coast Highway) Oxnard	10	2014-04-25 16:42:33.0
319	32.985126	North	SR 134 east (Ventura Freeway) Pasadena	101	2014-04-25 16:42:33.0
320	75.0	East	Vermont Avenue	105	2014-04-25 16:42:33.0
321	54.567703	South	Balboa Boulevard Encino	101	2014-04-25 16:42:33.0
322	57.850124	North	Tujunga Avenue	101	2014-04-25 16:42:33.0
323	72.673874	North	Shoup Avenue	101	2014-04-25 16:42:33.0
324	22.084911	North	Winnetka Avenue Woodland Hills	101	2014-04-25 16:42:33.0
325	60.017876	South	Jefferson Boulevard	405	2014-04-25 16:42:33.0
326	23.006437	West	4th Street, 5th Street	10	2014-04-25 16:42:33.0
327	75.0	South	Ventura Boulevard, Sepulveda Boulevard, Valley Vista Boulevard	405	2014-04-25 16:42:33.0
328	65.904816	North	Wilshire Boulevard	405	2014-04-25 16:42:33.0
329	58.983086	West	Crenshaw Boulevard	10	2014-04-25 16:42:33.0
330	52.208275	North	Cahuenga Boulevard Hollywood Bowl	101	2014-04-25 16:42:33.0
331	66.30981	North	Sepulveda Boulevard	101	2014-04-25 16:42:33.0
332	67.77638	East	Cloverfield Boulevard	10	2014-04-25 16:42:33.0
333	65.72031	East	Soto Street	10	2014-04-25 16:42:33.0
334	75.0	West	20th Street	10	2014-04-25 16:42:33.0
335	44.497776	East	I-110 (Harbor Freeway) Los Angeles, San Pedro	105	2014-04-25 16:42:33.0
336	66.22676	East	Hoover Street, Vermont Avenue	10	2014-04-25 16:42:33.0
337	20.0	North	Los Angeles Street	101	2014-04-25 16:42:33.0
338	68.12345	North	Vineland Avenue	101	2014-04-25 16:42:33.0
339	26.312153	East	State Street	10	2014-04-25 16:42:33.0
340	47.29836	West	Centinela Avenue	10	2014-04-25 16:42:33.0
