Freeway,Ramp Name,Latitude,Longitude,,,,,,,,,,
10,"I-110 south (Harbor Freeway) / SR 110 north (Harbor Freeway) / Pico Boulevard San Pedro, Pasadena, Downtown Los Angeles",34.038258,-118.273966,,,,,,,,,,
10,Grand Avenue,34.034559,-118.267117,,,,,,,,,,
10,Los Angeles Street Convention Center,34.031999,-118.262397,,,,,,,,,,
10,Maple Avenue,34.031252,-118.259972,,,,,,,,,,
10,San Pedro Street,34.029651,-118.256174,,,,,,,,,,
10,Central Avenue,34.02597,-118.249222,,,,,,,,,,
10,Alameda Street,34.024619,-118.239287,,,,,,,,,,
10,"Mateo Street, Santa Fe Avenue",34.02798,-118.231111,,,,,,,,,,
10,"I-5 south (Santa Ana Freeway) / SR 60 east (Pomona Freeway) Santa Ana, Pomona",34.029669,-118.224653,,,,,,,,,,
10,Boyle Avenue,34.033937,-118.220799,,,,,,,,,,
10,Fourth Street,34.043032,-118.217259,,,,,,,,,,
10,Cesar Chavez Avenue,34.049682,-118.214233,,,,,,,,,,
10,I-5 north (Golden State Freeway) Sacramento,34.052002,-118.214053,,,,,,,,,,
10,"US 101 north (Santa Ana Freeway via San Bernardino Freeway) Los Angeles, Hollywood",34.056339,-118.213751,,,,,,,,,,
10,State Street,34.055477,-118.211658,,,,,,,,,,
10,Soto Street,34.055362,-118.200599,,,,,,,,,,
10,City Terrace Drive,34.055388,-118.186156,,,,,,,,,,
10,Eastern Avenue,34.060579,-118.173507,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
101,I-5 south (Santa Ana Freeway) Santa Ana,34.02629,-118.208363,,,,,,,,,,
101,Euclid Avenue,34.027126,-118.209715,,,,,,,,,,
101,SR 60 east (Pomona Freeway) / Soto Street Pomona,34.029082,-118.214382,,,,,,,,,,
101,Seventh Street,34.034068,-118.221254,,,,,,,,,,
101,Fourth Street,34.042899,-118.22113,,,,,,,,,,
101,First Street,34.047361,-118.22142,,,,,,,,,,
101,Cesar Chavez Avenue,34.051717,-118.224006,,,,,,,,,,
101,I-10 east (San Bernardino Freeway) San Bernardino,34.052482,-118.225594,,,,,,,,,,
101,Mission Road,34.052659,-118.226711,,,,,,,,,,
101,Vignes Street,34.053673,-118.232449,,,,,,,,,,
101,Alameda Street Union Station,34.054126,-118.2379,,,,,,,,,,
101,Los Angeles Street,34.055113,-118.239319,,,,,,,,,,
101,Spring Street,34.056379,-118.241354,,,,,,,,,,
101,Broadway,34.057031,-118.242379,,,,,,,,,,
101,"Grand Avenue, Temple Street",34.059204,-118.24545,,,,,,,,,,
101,"SR 110 north (Pasadena Freeway) / I-110 south (Harbor Freeway) Pasadena, San Pedro",34.062428,-118.248714,,,,,,,,,,
101,"Glendale Boulevard, Echo Park Avenue, Union Avenue, Belmont Avenue",34.069583,-118.260645,,,,,,,,,,
101,SR 2 east (Alvarado Street),34.071942,-118.266937,,,,,,,,,,
101,"Rampart Boulevard, Benton Way",34.074821,-118.273117,,,,,,,,,,
101,Silver Lake Boulevard,34.077239,-118.281485,,,,,,,,,,
101,Vermont Avenue,34.079309,-118.291593,,,,,,,,,,
101,"Melrose Avenue, Normandie Avenue",34.083197,-118.298315,,,,,,,,,,
101,SR 2 west (Santa Monica Boulevard) / Western Avenue,34.089141,-118.305577,,,,,,,,,,
101,Sunset Boulevard,34.098008,-118.314562,,,,,,,,,,
101,Hollywood Boulevard,34.101762,-118.316762,,,,,,,,,,
101,Gower Street,34.104378,-118.322408,,,,,,,,,,
101,Vine Street,34.105582,-118.32667,,,,,,,,,,
101,Cahuenga Boulevard Hollywood Bowl,34.107767,-118.330672,,,,,,,,,,
101,Highland Avenue (SR 170 south) Hollywood Bowl,34.111272,-118.335253,,,,,,,,,,
101,Barham Boulevard Burbank,34.130061,-118.348407,,,,,,,,,,
101,Universal Studios Boulevard,34.133052,-118.352368,,,,,,,,,,
101,Lankershim Boulevard Universal City,34.137565,-118.362826,,,,,,,,,,
101,Ventura Boulevard,34.139035,-118.364811,,,,,,,,,,
101,Vineland Avenue,34.147524,-118.371366,,,,,,,,,,
101,SR 134 east (Ventura Freeway) Pasadena,34.154139,-118.376968,,,,,,,,,,
101,SR 170 north (Hollywood Freeway) Sacramento,34.151173,-118.375069,,,,,,,,,,
101,Tujunga Avenue,34.154054,-118.379359,,,,,,,,,,
101,Laurel Canyon Boulevard Studio City,34.154347,-118.396343,,,,,,,,,,
101,Coldwater Canyon Avenue,34.156651,-118.413879,,,,,,,,,,
101,Woodman Avenue,34.15555,-118.431367,,,,,,,,,,
101,Van Nuys Boulevard,34.1569,-118.448807,,,,,,,,,,
101,Sepulveda Boulevard,34.159324,-118.466231,,,,,,,,,,
101,"I-405 (San Diego Freeway) Santa Monica, Sacramento",34.160318,-118.469964,,,,,,,,,,
101,Haskell Avenue,34.164663,-118.473988,,,,,,,,,,
101,Hayvenhurst Avenue,34.165303,-118.492205,,,,,,,,,,
101,Balboa Boulevard Encino,34.170456,-118.501335,,,,,,,,,,
101,White Oak Avenue,34.171095,-118.518802,,,,,,,,,,
101,Reseda Boulevard,34.173181,-118.53629,,,,,,,,,,
101,Tampa Avenue,34.1735,-118.553681,,,,,,,,,,
101,Winnetka Avenue Woodland Hills,34.172027,-118.571084,,,,,,,,,,
101,"De Soto Avenue, Serrania Avenue",34.167979,-118.588378,,,,,,,,,,
101,Canoga Avenue,34.169062,-118.59532,,,,,,,,,,
101,SR 27 (Topanga Canyon Boulevard) / Ventura Boulevard,34.170691,-118.606017,,,,,,,,,,
101,Shoup Avenue,34.169177,-118.612272,,,,,,,,,,
101,Fallbrook Avenue,34.163527,-118.626139,,,,,,,,,,
101,Woodlake Avenue,34.161982,-118.630285,,,,,,,,,,
101,"Mulholland Drive, Valley Circle Boulevard",34.159519,-118.637012,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
405,"Manchester Boulevard, La Cienega Boulevard, Florence Avenue",33.963001,-118.369896,,,,,,,,,,
405,La Tijera Boulevard,33.97189,-118.378319,,,,,,,,,,
405,"Howard Hughes Parkway, Sepulveda Boulevard",33.976019,-118.386354,,,,,,,,,,
405,"Sepulveda Boulevard, Slauson Avenue (SR 90 east)",33.982291,-118.394991,,,,,,,,,,
405,Jefferson Boulevard,33.988029,-118.399445,,,,,,,,,,
405,SR 90 west (Marina Freeway)   Marina del Rey,33.991552,-118.402297,,,,,,,,,,
405,"Culver Boulevard, Washington Boulevard   Culver City",34.003248,-118.411546,,,,,,,,,,
405,"Venice Boulevard (SR 187), Washington Boulevard",34.011706,-118.418273,,,,,,,,,,
405,National Boulevard,34.02689,-118.430198,,,,,,,,,,
405,"I-10 (Santa Monica Freeway)   Santa Monica, Los Angeles",34.031459,-118.433803,,,,,,,,,,
405,"Olympic Boulevard, Pico Boulevard",34.035804,-118.438207,,,,,,,,,,
405,SR 2 (Santa Monica Boulevard),34.04705,-118.446865,,,,,,,,,,
405,Wilshire Boulevard,34.055664,-118.452246,,,,,,,,,,
405,Montana Avenue,34.067032,-118.461735,,,,,,,,,,
405,Sunset Boulevard,34.072906,-118.466826,,,,,,,,,,
405,Moraga Drive,34.077367,-118.469943,,,,,,,,,,
405,Getty Center Drive,34.095432,-118.476541,,,,,,,,,,
405,"Mulholland Drive, Skirball Center Drive",34.124311,-118.477389,,,,,,,,,,
405,"Ventura Boulevard, Sepulveda Boulevard, Valley Vista Boulevard",34.151812,-118.468226,,,,,,,,,,
405,"US 101 (Ventura Freeway)   Ventura, Los Angeles",34.160451,-118.469612,,,,,,,,,,
405,Burbank Boulevard,34.172195,-118.467759,,,,,,,,,,
405,Victory Boulevard   Van Nuys,34.186556,-118.474229,,,,,,,,,,
405,Sherman Way,34.202699,-118.473474,,,,,,,,,,
405,Roscoe Boulevard   Panorama City,34.221606,-118.473356,,,,,,,,,,
405,Nordhoff Street,34.235772,-118.473174,,,,,,,,,,
405,Devonshire Street   Granada Hills,34.25703,-118.472389,,,,,,,,,,
405,SR 118 (Ronald Reagan Freeway)   Simi Valley,34.266159,-118.472298,,,,,,,,,,
405,San Fernando Mission Boulevard   San Fernando,34.271705,-118.472175,,,,,,,,,,
405,Rinaldi Street   Mission Hills,34.279223,-118.469793,,,,,,,,,,
405,I-5 north (Golden State Freeway)   Sacramento,34.2933,-118.470061,,,,,,,,,,
