105
Vignes Street,,34.053673,-118.232449,
Alameda Street Union Station,,34.054126,-118.2379,
Los Angeles Street,,34.055113,-118.239319,
Spring Street,,34.056379,-118.241354,
Broadway,,34.057031,-118.242379,
"Grand Avenue, Temple Street",,34.059204,-118.24545,
"SR 110 north (Pasadena Freeway) / I-110 south (Harbor Freeway) Pasadena, San Pedro",,34.062428,-118.248714,
"Glendale Boulevard, Echo Park Avenue, Union Avenue, Belmont Avenue",,34.069583,-118.260645,
SR 2 east (Alvarado Street),,34.071942,-118.266937,
"Rampart Boulevard, Benton Way",,34.074821,-118.273117,
Silver Lake Boulevard,,34.077239,-118.281485,
Vermont Avenue,,34.079309,-118.291593,Eastbound
"Melrose Avenue, Normandie Avenue",,34.083197,-118.298315,
SR 2 west (Santa Monica Boulevard) / Western Avenue,,34.089141,-118.305577,
Sunset Boulevard,,34.098008,-118.314562,
Hollywood Boulevard,,34.101762,-118.316762,
Gower Street,,34.104378,-118.322408,
Vine Street,,34.105582,-118.32667,
Cahuenga Boulevard Hollywood Bowl,,34.107767,-118.330672,
Highland Avenue (SR 170 south) Hollywood Bowl,,34.111272,-118.335253,
Barham Boulevard Burbank,,34.130061,-118.348407,
Universal Studios Boulevard,,34.133052,-118.352368,
Lankershim Boulevard Universal City,,34.137565,-118.362826,
Ventura Boulevard,,34.139035,-118.364811,
Vineland Avenue,,34.147524,-118.371366,
SR 134 east (Ventura Freeway) Pasadena,,34.154139,-118.376968,
SR 170 north (Hollywood Freeway) Sacramento,,34.151173,-118.375069,
Tujunga Avenue,,34.154054,-118.379359,
Laurel Canyon Boulevard Studio City,,34.154347,-118.396343,
Coldwater Canyon Avenue,,34.156651,-118.413879,
Woodman Avenue,,34.15555,-118.431367,
Van Nuys Boulevard,,34.1569,-118.448807,
Sepulveda Boulevard,,34.159324,-118.466231,
"I-405 (San Diego Freeway) Santa Monica, Sacramento",,34.160318,-118.469964,
Haskell Avenue,,34.164663,-118.473988,
Hayvenhurst Avenue,,34.165303,-118.492205,
Balboa Boulevard Encino,,34.170456,-118.501335,
White Oak Avenue,,34.171095,-118.518802,
Reseda Boulevard,,34.173181,-118.53629,
Tampa Avenue,,34.1735,-118.553681,
Winnetka Avenue Woodland Hills,,34.172027,-118.571084,
"De Soto Avenue, Serrania Avenue",,34.167979,-118.588378,
Canoga Avenue,,34.169062,-118.59532,
SR 27 (Topanga Canyon Boulevard) / Ventura Boulevard,,34.170691,-118.606017,
Shoup Avenue,,34.169177,-118.612272,
Fallbrook Avenue,,34.163527,-118.626139,
Woodlake Avenue,,34.161982,-118.630285,
"Mulholland Drive, Valley Circle Boulevard",,34.159519,-118.637012,

405
"Manchester Boulevard, La Cienega Boulevard, Florence Avenue",,33.963001,-118.369896,
La Tijera Boulevard,,33.97189,-118.378319,
"Howard Hughes Parkway, Sepulveda Boulevard",,33.976019,-118.386354,
"Sepulveda Boulevard, Slauson Avenue (SR 90 east)",,33.982291,-118.394991,
Jefferson Boulevard,,33.988029,-118.399445,
SR 90 west (Marina Freeway)   Marina del Rey,,33.991552,-118.402297,
"Culver Boulevard, Washington Boulevard   Culver City",,34.003248,-118.411546,
"Venice Boulevard (SR 187), Washington Boulevard",,34.011706,-118.418273,
National Boulevard,,34.02689,-118.430198,
"I-10 (Santa Monica Freeway)   Santa Monica, Los Angeles",,34.031459,-118.433803,
"Olympic Boulevard, Pico Boulevard",,34.035804,-118.438207,
SR 2 (Santa Monica Boulevard),,34.04705,-118.446865,
Wilshire Boulevard,,34.055664,-118.452246,
Montana Avenue,,34.067032,-118.461735,
Sunset Boulevard,,34.072906,-118.466826,
Moraga Drive,,34.077367,-118.469943,N
Getty Center Drive,,34.095432,-118.476541,
"Mulholland Drive, Skirball Center Drive",,34.124311,-118.477389,
"Ventura Boulevard, Sepulveda Boulevard, Valley Vista Boulevard",,34.151812,-118.468226,
"US 101 (Ventura Freeway)   Ventura, Los Angeles",,34.160451,-118.469612,
Burbank Boulevard,,34.172195,-118.467759,
Victory Boulevard   Van Nuys,,34.186556,-118.474229,
Sherman Way,,34.202699,-118.473474,
Roscoe Boulevard   Panorama City,,34.221606,-118.473356,
Nordhoff Street,,34.235772,-118.473174,
Devonshire Street   Granada Hills,,34.25703,-118.472389,
SR 118 (Ronald Reagan Freeway)   Simi Valley,,34.266159,-118.472298,
San Fernando Mission Boulevard   San Fernando,,34.271705,-118.472175,
Rinaldi Street   Mission Hills,,34.279223,-118.469793,
I-5 north (Golden State Freeway)   Sacramento,,34.2933,-118.470061,
