latitude,longitude,
34.0751,-118.46824,
34.07547,-118.46853,
34.07618,-118.46905,
34.07734,-118.46997,
34.07813,-118.47064,
34.0793,-118.47179,
34.08018,-118.4726,
34.08067,-118.473,
34.08124,-118.4734,
34.08184,-118.47374,
34.08246,-118.47404,
34.08309,-118.47428,
34.08373,-118.47447,
34.08438,-118.4746,
34.08712,-118.47499,
34.09228,-118.47574,
34.0938,-118.47593,
34.09396,-118.47594,
34.09463,-118.47603,
34.0951,-118.47615,
34.09543,-118.47626,
34.09584,-118.47644,
34.09675,-118.47698,
34.09713,-118.47725,
34.09774,-118.47756,
34.09824,-118.47777,
34.09913,-118.47794,
34.09959,-118.47795,
34.1001,-118.4779,
34.10091,-118.47769,
34.10197,-118.47737,
34.10257,-118.47725,
34.10295,-118.47721,
34.10338,-118.47722,
34.10385,-118.47726,
34.10415,-118.47734,
34.10452,-118.47745,
34.105,-118.47765,
34.10557,-118.47798,
34.10998,-118.48123,
34.11056,-118.48158,
34.111,-118.48178,
34.11136,-118.4819,
34.112,-118.48202,
34.11231,-118.48205,
34.11282,-118.48203,
34.11391,-118.48196,
34.11656,-118.48177,
34.11781,-118.48166,
34.11834,-118.48154,
34.11865,-118.48142,
34.11901,-118.48125,
34.11936,-118.48106,
34.11969,-118.48082,
34.12016,-118.48044,
34.12067,-118.48003,
34.1224,-118.47855,
34.12406,-118.47725,
34.12611,-118.47563,
34.12637,-118.47539,
34.12639,-118.47537,
34.12712,-118.47479,
34.12765,-118.47446,
34.12855,-118.47401,
34.12912,-118.4738,
34.13102,-118.4732,
34.13305,-118.47255,
34.13494,-118.47192,
34.13731,-118.47122,
34.13787,-118.47111,
34.13844,-118.47104,
34.13901,-118.47102,
34.13936,-118.47103,
34.1412,-118.47127,
34.14195,-118.47132,
34.14269,-118.47132,
34.14343,-118.47124,
34.14404,-118.47114,
34.14439,-118.47106,
34.14511,-118.47086,
34.14572,-118.47063,
34.14621,-118.47041,
34.14835,-118.4693,
34.14921,-118.46883,
34.14971,-118.46858,
34.15014,-118.46842,
34.15071,-118.46821,
34.15092,-118.46816,
34.15147,-118.46804,
34.15227,-118.46794,
34.1527,-118.4679,
34.15326,-118.4679,
34.15369,-118.46793,
34.15429,-118.46801,
34.15521,-118.46825,
34.15752,-118.46907,
34.15836,-118.46928,
34.15893,-118.46935,
34.15977,-118.4694,
34.16092,-118.46942,
34.16304,-118.46943,
34.16482,-118.46948,
34.1655,-118.46949,
34.16606,-118.46942,
34.16652,-118.46931,
34.1668,-118.46922,
34.16733,-118.46899,
34.1689,-118.46807,
34.16973,-118.46774,
34.17022,-118.4676,
34.1708,-118.46752,
34.17126,-118.46751,
34.17212,-118.46752,
34.17463,-118.46759,
34.17535,-118.46768,
34.17593,-118.46782,
34.17688,-118.46814,
34.17757,-118.46845,
34.17816,-118.46878,
34.17846,-118.46896,
34.17926,-118.46954,
34.18404,-118.47306,
34.18447,-118.47331,
34.1849,-118.47353,
34.18531,-118.4737,
34.18555,-118.47378,
34.18582,-118.47387,
34.18664,-118.47402,
34.18692,-118.47405,
34.19359,-118.4742,
34.19444,-118.4742,
34.19628,-118.47421,
34.19707,-118.47417,
34.19747,-118.47413,
34.19802,-118.47402,
34.20049,-118.47349,
34.20112,-118.47339,
34.20147,-118.47334,
34.20206,-118.4733,
34.20422,-118.47327,
34.20824,-118.4732,
34.21623,-118.47313,
34.22169,-118.47306,
34.22831,-118.47302,
34.23254,-118.47297,
34.23575,-118.47294,
34.23741,-118.47291,
34.23938,-118.47289,
34.24303,-118.47287,
34.24509,-118.47286,
34.2458,-118.4728,
34.24633,-118.47272,
34.24715,-118.47254,
34.24843,-118.47225,
34.24914,-118.47216,
34.2501,-118.47214,
34.25615,-118.47212,
34.25911,-118.4721,
34.26221,-118.4721,
34.26377,-118.47206,
34.26458,-118.47203,
34.26587,-118.47204,
34.26614,-118.47204,
34.26807,-118.472,
34.26932,-118.47201,
34.27119,-118.472,
34.27184,-118.47194,
34.27239,-118.47185,
34.27338,-118.47162,
34.27434,-118.47131,
34.27543,-118.4709,
34.27597,-118.47071,
34.27862,-118.46979,
34.28084,-118.46914,
34.28341,-118.46854,
34.28636,-118.46787,
34.28835,-118.46744,
34.28881,-118.46739,
34.28927,-118.46738,
34.28953,-118.46739,
34.28997,-118.46743,
34.2905,-118.46755,
34.29113,-118.46773,
34.29148,-118.46784,
34.29184,-118.46803,
34.29229,-118.4683,
34.2929,-118.46876,
34.29336,-118.46918,
34.29359,-118.46941,
34.29588,-118.47197,
34.29681,-118.47298,
34.29689,-118.47315,
34.29701,-118.47327,
34.29806,-118.4743,
34.30085,-118.47708,
34.30088,-118.47707,
34.30093,-118.47706,
34.30096,-118.47707,
34.30113,-118.47717,
34.30344,-118.47915,
34.30358,-118.47926,
34.30348,-118.47941,
34.30339,-118.47956,
34.30324,-118.4798,
34.30307,-118.48007,
34.30265,-118.47961,
34.30232,-118.47924,
34.30207,-118.47898,
34.30089,-118.47766,
34.3007,-118.47741,
34.30046,-118.47711,
34.2979,-118.47454,
34.29345,-118.47012,
34.29335,-118.46996,
34.2932,-118.46982,
34.29192,-118.46853,
34.29121,-118.46782,
