latitude,longitude,
34.03723,-118.3089,
34.03724,-118.30909,
34.03727,-118.30961,
34.03724,-118.31072,
34.03715,-118.31335,
34.03701,-118.31571,
34.03681,-118.31764,
34.03661,-118.31891,
34.03595,-118.32364,
34.03565,-118.32565,
34.03553,-118.32661,
34.03547,-118.32732,
34.03541,-118.32842,
34.03535,-118.32923,
34.03517,-118.33335,
34.035,-118.33645,
34.03495,-118.338,
34.03487,-118.33991,
34.03472,-118.34318,
34.03463,-118.34507,
34.03438,-118.35016,
34.0341,-118.35589,
34.03396,-118.35849,
34.03388,-118.36014,
34.03388,-118.36093,
34.03393,-118.36194,
34.03395,-118.36215,
34.03407,-118.36332,
34.03446,-118.36538,
34.03471,-118.36656,
34.03496,-118.36772,
34.03527,-118.3692,
34.03587,-118.37194,
34.03589,-118.37203,
34.03636,-118.37422,
34.03691,-118.37687,
34.03707,-118.37794,
34.03707,-118.37896,
34.03699,-118.37962,
34.03675,-118.38072,
34.03666,-118.38105,
34.03634,-118.3818,
34.03591,-118.38258,
34.03415,-118.38553,
34.03389,-118.386,
34.03346,-118.38672,
34.03327,-118.38701,
34.03288,-118.38767,
34.03162,-118.38985,
34.03112,-118.39065,
34.03091,-118.391,
34.03012,-118.39241,
34.02994,-118.39282,
34.02966,-118.39352,
34.02939,-118.39457,
34.0293,-118.39506,
34.02923,-118.39572,
34.02918,-118.39624,
34.02918,-118.39678,
34.02921,-118.39723,
34.02932,-118.3985,
34.02972,-118.4031,
34.03013,-118.40767,
34.03023,-118.4088,
34.03035,-118.40956,
34.0305,-118.4102,
34.03076,-118.41101,
34.0312,-118.41222,
34.03151,-118.41313,
34.03168,-118.41381,
34.03177,-118.4143,
34.03187,-118.41512,
34.03189,-118.4158,
34.03189,-118.41752,
34.03185,-118.41956,
34.03184,-118.42186,
34.03185,-118.42395,
34.03185,-118.4246,
34.03184,-118.42705,
34.03183,-118.42853,
34.03176,-118.43021,
34.03164,-118.43138,
34.03144,-118.4329,
34.03134,-118.43362,
34.03111,-118.43525,
34.03094,-118.43656,
34.0305,-118.43978,
34.03037,-118.44071,
34.03019,-118.44192,
34.03004,-118.44272,
34.03001,-118.44289,
34.02971,-118.44417,
34.02925,-118.44593,
34.0288,-118.44758,
34.02834,-118.44933,
34.02796,-118.45074,
34.02784,-118.4514,
34.02779,-118.45189,
34.02778,-118.45258,
34.02785,-118.45418,
34.02788,-118.4547,
34.02788,-118.45515,
34.02784,-118.45564,
34.02778,-118.45605,
34.02761,-118.45696,
34.0272,-118.45896,
34.02683,-118.46076,
34.02641,-118.46255,
34.0263,-118.46293,
34.02613,-118.46358,
34.02549,-118.46597,
34.02457,-118.4694,
34.02367,-118.47275,
34.02326,-118.47413,
34.02312,-118.47451,
34.02304,-118.4747,
34.02289,-118.47497,
34.02239,-118.47591,
34.02223,-118.47616,
34.02152,-118.47714,
34.02143,-118.47725,
34.01958,-118.47948,
34.01919,-118.47998,
34.01882,-118.48044,
34.01716,-118.48245,
34.01687,-118.48283,
34.01608,-118.48399,
34.01461,-118.48633,
34.01308,-118.48882,
34.01284,-118.48936,
34.01268,-118.48992,
34.01264,-118.49016,
34.01259,-118.49056,
34.01252,-118.49183,
34.01249,-118.4921,
34.01243,-118.49238,
34.01231,-118.49273,
34.01221,-118.49295,
34.01177,-118.49366,
34.01164,-118.4939,
34.01153,-118.49416,
34.01147,-118.49438,
34.01143,-118.49463,
34.01142,-118.49519,
34.01146,-118.49553,
34.01156,-118.49598,
34.01161,-118.49617,
34.01174,-118.49642,
34.0119,-118.49667,
34.01277,-118.49764,
34.013,-118.49788,
